2.023500 	 0.006132 
2.013500 	 0.006102 
2.033000 	 0.006161 
2.180000 	 0.006606 
2.258000 	 0.006842 
2.453500 	 0.007391 
2.600000 	 0.007715 
2.712500 	 0.007850 
2.800500 	 0.007938 
2.893500 	 0.008042 
2.976500 	 0.008071 
3.079000 	 0.008176 
3.152500 	 0.008176 
3.255000 	 0.008323 
3.333500 	 0.008324 
3.445500 	 0.008323 
3.538500 	 0.008383 
3.636500 	 0.008442 
3.729000 	 0.008441 
3.822000 	 0.008456 
3.944500 	 0.008591 
4.086000 	 0.008620 
4.184000 	 0.008635 
4.276500 	 0.008664 
4.423500 	 0.008739 
4.589500 	 0.008724 
4.736000 	 0.008753 
4.970500 	 0.008915 
5.000000 	 0.008471 
5.000000 	 0.007865 
5.000000 	 0.007302 
5.000000 	 0.007273 
5.000000 	 0.007376 
5.000000 	 0.007376 
5.000000 	 0.007332 
